bench,scale,target_rel_err,pareto_sim,pareto_pred,common_percent
trmm,8,0.0001,[1009 1555 2331],[1555 2331 1009],1.0
trmm,8,1e-05,[1555 2331],[1555 2331 1351],1.0
trmm,2,0.01,[ 168 1605 2189 3256],[ 168 1605 2189 3256],1.0
trmm,2,0.001,[1605 2189 3256],[1605 2189 3256],1.0
trmm,2,0.0001,[ 854 1605 2189],[1605 2189  854],1.0
trmm,2,1e-05,[1605 2189],[ 854 1605 2189],1.0
trmm,256,0.01,[ 186 1523 2147 2757 3274],[ 186 1523 2147 3274],0.8
trmm,256,0.001,[1523 2147 3274],[1523 2147 3274],1.0
trmm,256,0.0001,[2317 2687],[],0.0
trmm,256,1e-05,[2317 2687],[932],0.0
heat-3d,128,0.01,[  14 2364 3102],[  14 1588 2364 3102],1.0
heat-3d,128,0.001,[2364 3102],[1588 2364 3102],1.0
heat-3d,128,0.0001,[ 700 2364],[1042 1588 2364],0.5
heat-3d,128,1e-05,[ 700 2364],[580],0.0
heat-3d,1,0.01,[1541 1789 2087],[1541 2087],0.6666666666666666
heat-3d,1,0.001,[1541 1789 2087],[1541 2087],0.6666666666666666
heat-3d,1,0.0001,[1541 1789 2087],[1541 2087],0.6666666666666666
heat-3d,1,1e-05,[1541 1789 2087],[1541 2087],0.6666666666666666
heat-3d,16,0.01,[  49 2382 3137],[  49 1488 2382 3137],1.0
heat-3d,16,0.001,[2382 3137],[1488 2382 3137],1.0
heat-3d,16,0.0001,[ 735 2382],[1077 1488 2382],0.5
heat-3d,16,1e-05,[ 735 2382],[1077 1488 2382],0.5
heat-3d,64,0.01,[ 201 2236 3289],[ 201 1506 2236 3289],1.0
heat-3d,64,0.001,[2236 3289],[1506 2236 3289],1.0
heat-3d,64,0.0001,[ 887 2236],[1229 1506 2236],0.5
heat-3d,64,1e-05,[ 887 2236],[598],0.0
heat-3d,512,0.01,[  95 2254 3183],[  95 1398 2254 3183],1.0
heat-3d,512,0.001,[2254 3183],[ 781 1398 2254],0.5
heat-3d,512,0.0001,[ 781 2254],[1123 1398 2254],0.5
