bench,taffo_conf,scale,fpu_conf,arch,hw_float_support,hw_fixed_support,dynamic_pwr,time,sim_time,energy,hw_sw_config,rel_err_run,float_type_equivalent,mantissa,rel_err_sim,output_size,float_op_count_default,kernel_float_op_count_default,var_max,compile_time,lut,ff,dsp,energy_per_op,rel_err_pred,rel_err_pred_formal,fix_err_eq_fl_err,energy_pred,lut_share,ff_share,dsp_share,max_area_share,ml_error,energy_gain_rel,time_gain_rel,error_gain_rel,lut_gain_rel,ff_gain_rel,dsp_gain_rel,canon_arch
gesummv,float,32,noFPU,noFPU_IM,0,0,0.046,3910260000.0,2508.550316271,179871960.0,noFPU_IM_float,3.6372685068779876e-08,float32,24,2.1877562750695025e-08,16,1600,1072,11596.800781,,7936.0,5725.0,4.0,187692.0825426945,2.384185791015625e-07,7.62939453125e-06,2048.0,300307332.0683112,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,5.044125293920928e-08,7.495164677645176,6.517534502300153,1.0,0.7403675716018285,0.7626215532169974,0.4,IM
lu,float,32,noFPU,noFPU_IM,0,0,0.05,22929700000.0,18340.01001727,1146485000.0,noFPU_IM_float,2.2870060759171465e-07,float32,24,1.96784774018796e-07,400,21550,5130,261.519989,,7936.0,5725.0,4.0,187692.0825426945,1.5258789062500014e-07,4.882812500000004e-06,2048.0,4044764378.7950664,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,3.4349890966261385e-07,6.683756085708036,5.61435511199475,0.9484186131169127,0.7403675716018285,0.7626215532169974,0.4,IM
ludcmp,float,32,noFPU,noFPU_IM,0,0,0.051,25705620000.0,16849.730277981,1310986620.0,noFPU_IM_float,2.256782872318164e-05,float32,24,1.7097528350012852e-05,20,22390,5910,261.519989,,7936.0,5725.0,4.0,187692.0825426945,3.0517578125000014e-06,9.765625000000005e-05,2048.0,4202425728.13093,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,9.021613133541223e-06,7.451768320964749,6.136750381970971,0.9725257546496806,0.7403675716018285,0.7626215532169974,0.4,IM
mvt,float,32,noFPU,noFPU_IM,0,0,0.049,6064200000.0,3088.79906297,297145800.0,noFPU_IM_float,4.7651061342012625e-08,float32,24,4.98752749999418e-08,40,2080,1600,5110.399902,,7936.0,5725.0,4.0,187692.0825426945,1.907348632812501e-07,6.103515625000003e-06,2048.0,390399531.68880457,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,3.2466618327529283e-08,6.9897646663636905,5.563282081391509,1.1308328619003907,0.7403675716018285,0.7626215532169974,0.4,IM
symm,float,32,noFPU,noFPU_IM,0,0,0.05,17580620000.0,6422.679142454,879031000.0,noFPU_IM_float,3.3935925381640514e-08,float32,24,3.4018419039687324e-08,160,4935,4560,43810.558594,,7936.0,5725.0,4.0,187692.0825426945,9.536743164062504e-08,3.0517578125000014e-06,2048.0,926260427.3481973,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,4.5383962783460424e-08,10.222997700546276,7.973938206426096,0.9248456352644819,0.7403675716018285,0.7626215532169974,0.4,IM
syr2k,float,32,noFPU,noFPU_IM,0,0,0.049,30751160000.0,10612.811974633,1506806840.0,noFPU_IM_float,3.3430344344786e-08,float32,24,3.0611177074716845e-08,256,8872,8296,7960.319336,,7936.0,5725.0,4.0,187692.0825426945,1.1920928955078125e-07,3.814697265625e-06,2048.0,1665204156.3187857,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,9.108277442232966e-08,12.231947122639893,9.735631383325629,0.9837575608782934,0.7403675716018285,0.7626215532169974,0.4,IM
syrk,float,32,noFPU,noFPU_IM,0,0,0.046,16516180000.0,6785.651978774,759744280.0,noFPU_IM_float,2.271559576813512e-08,float32,24,2.2715596429422944e-08,256,4632,4216,6632.879883,,7936.0,5725.0,4.0,187692.0825426945,5.960464477539063e-08,1.9073486328125e-06,2048.0,869389726.3377609,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,2.3673690674113392e-08,8.217403136124268,6.7882895472330915,1.0,0.7403675716018285,0.7626215532169974,0.4,IM
trmm,float,32,noFPU,noFPU_IM,0,0,0.048,6276460000.0,3122.342921658,301270080.0,noFPU_IM_float,2.8349279016626235e-08,float32,24,2.9542189466816763e-08,160,1805,1600,5346.0,,7936.0,5725.0,4.0,187692.0825426945,2.384185791015626e-08,7.629394531250004e-07,2048.0,338784208.9895636,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,5.536373662579137e-09,5.926994524510645,5.062641156352843,0.9890484039274633,0.7403675716018285,0.7626215532169974,0.4,IM
2mm,fixed,2,noFPU,noFPU_IM,0,0,0.045,1973460000.0,2844.711941361,88805700.0,noFPU_IM_fixed,1.1713321303580715e-07,float32,24,1.1713324086386606e-07,112,5700,5232,153.449997,1395.352294921875,7936.0,5725.0,4.0,17954.5875,1.3623918805803557e-07,0.0078125,2048.0,102341148.75000001,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,4.711987364720675e-06,0.629494161603746,0.5455616067232466,3.0347308769595425,0.7403675716018285,0.7626215532169974,0.4,IM
3mm,fixed,2,noFPU,noFPU_IM,0,0,0.047,1883560000.0,2315.283664964,88527320.0,noFPU_IM_fixed,5.518181481139049e-07,float32,24,5.518184548414681e-07,72,5220,4800,0.868533,1342.396484375,7936.0,5725.0,4.0,17954.5875,2.119276258680556e-07,0.0078125,2048.0,93722946.75000001,0.12517350157728707,0.04514984227129337,0.016666666666666666,0.12517350157728707,2.1409880679736236e-06,0.554090731677274,0.48335574465464326,8.381618741310934,0.7403675716018285,0.7626215532169974,0.4,IM
