bench,arch,taffo_conf,hw_sw_config,energy,float_op_count_default,kernel_float_op_count_default,energy_per_op
heat-3d,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,10077600.0,8350,8100,1244.148148148148
jacobi-1d,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,8062200.0,840,780,10336.153846153846
jacobi-2d,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,156470000.0,18250,16900,9258.579881656804
seidel-2d,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,234117100.0,30360,29160,8028.707133058985
2mm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,60166680.00000001,5700,5232,11499.74770642202
3mm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,67532080.0,5220,4800,14069.183333333332
atax,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,26856900.0,2244,1760,15259.602272727272
bicg,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,20288000.0,2242,1760,11527.272727272728
gemm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,69945040.0,6352,5880,11895.414965986394
gemver,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,48201600.0,4640,4020,11990.44776119403
gesummv,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,10345940.0,1600,1072,9651.063432835821
lu,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,79273500.0,21550,5130,15452.923976608186
ludcmp,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,78007780.0,22390,5910,13199.285956006768
mvt,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,22076880.0,2080,1600,13798.05
symm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,47251200.0,4935,4560,10362.105263157895
syr2k,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,88775280.0,8872,8296,10700.973963355835
syrk,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,52705800.0,4632,4216,12501.375711574952
trmm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,26288240.0,1805,1600,16430.15
2mm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,60301920.00000001,5700,5232,11525.596330275232
3mm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,67543520.0,5220,4800,14071.566666666668
atax,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,26715600.0,2244,1760,15179.318181818182
bicg,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,20288000.0,2242,1760,11527.272727272728
gemm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,71525700.0,6352,5880,12164.234693877552
gemver,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,47881359.99999999,4640,4020,11910.78606965174
gesummv,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,10625560.0,1600,1072,9911.902985074626
lu,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,81207000.0,21550,5130,15829.82456140351
ludcmp,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,74597400.0,22390,5910,12622.23350253807
mvt,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,22602520.0,2080,1600,14126.575
symm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,45712440.0,4935,4560,10024.657894736842
syr2k,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,87888240.0,8872,8296,10594.050144648023
syrk,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,52705800.0,4632,4216,12501.375711574952
trmm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,26885700.0,1805,1600,16803.5625
heat-3d,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,10077600.0,8350,8100,1244.148148148148
jacobi-1d,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,7877760.0,840,780,10099.692307692309
jacobi-2d,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,153259260.0,18250,16900,9068.59526627219
seidel-2d,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,234111220.0,30360,29160,8028.50548696845
